Case,Year,FuelCategory,Generation_GWh,Unit
BAU_Extreme,2035,WIND,6702.573600000,GWh
BAU_Extreme,2035,GEOTHERMAL,370.281600000,GWh
BAU_Extreme,2035,BIOENERGY,46.569600000,GWh
BAU_Extreme,2035,DIESEL,25.012800000,GWh
BAU_Extreme,2035,FUEL OIL,6535.411200000,GWh
BAU_Extreme,2035,GAS,4571.726400000,GWh
BAU_Extreme,2035,IMPORTS,2140.704000000,GWh
BAU_Extreme,2035,OTHER,0.000000000,GWh
BAU_Extreme,2036,HYDRO,42874.747200000,GWh
BAU_Extreme,2036,PV,5065.790400000,GWh
BAU_Extreme,2036,WIND,6734.635200000,GWh
BAU_Extreme,2036,GEOTHERMAL,366.559200000,GWh
BAU_Extreme,2036,BIOENERGY,42.732000000,GWh
BAU_Extreme,2036,DIESEL,242.697600000,GWh
BAU_Extreme,2036,FUEL OIL,6354.777600000,GWh
BAU_Extreme,2036,GAS,4607.791200000,GWh
BAU_Extreme,2036,IMPORTS,1958.716800000,GWh
BAU_Extreme,2036,OTHER,0.000000000,GWh
BAU_Extreme,2037,HYDRO,45323.755200000,GWh
BAU_Extreme,2037,PV,5342.594400000,GWh
BAU_Extreme,2037,WIND,6844.046400000,GWh
BAU_Extreme,2037,GEOTHERMAL,370.339200000,GWh
BAU_Extreme,2037,BIOENERGY,46.044000000,GWh
BAU_Extreme,2037,DIESEL,103.960800000,GWh
BAU_Extreme,2037,FUEL OIL,5995.044000000,GWh
BAU_Extreme,2037,GAS,4655.642400000,GWh
BAU_Extreme,2037,IMPORTS,1972.972800000,GWh
BAU_Extreme,2037,OTHER,0.000000000,GWh
BAU_Extreme,2038,HYDRO,48293.481600000,GWh
BAU_Extreme,2038,PV,5337.640800000,GWh
BAU_Extreme,2038,WIND,6765.703200000,GWh
BAU_Extreme,2038,GEOTHERMAL,366.400800000,GWh
BAU_Extreme,2038,BIOENERGY,36.057600000,GWh
BAU_Extreme,2038,DIESEL,418.665600000,GWh
BAU_Extreme,2038,FUEL OIL,5978.275200000,GWh
BAU_Extreme,2038,GAS,3975.868800000,GWh
BAU_Extreme,2038,IMPORTS,1841.371200000,GWh
BAU_Extreme,2038,OTHER,0.000000000,GWh
BAU_Extreme,2039,HYDRO,51769.051200000,GWh
BAU_Extreme,2039,PV,5360.421600000,GWh
BAU_Extreme,2039,WIND,6881.385600000,GWh
BAU_Extreme,2039,GEOTHERMAL,364.269600000,GWh
BAU_Extreme,2039,BIOENERGY,31.845600000,GWh
BAU_Extreme,2039,DIESEL,176.529600000,GWh
BAU_Extreme,2039,FUEL OIL,5405.227200000,GWh
BAU_Extreme,2039,GAS,3485.131200000,GWh
BAU_Extreme,2039,IMPORTS,1941.307200000,GWh
BAU_Extreme,2039,OTHER,0.000000000,GWh
BAU_Extreme,2040,HYDRO,54135.316800000,GWh
BAU_Extreme,2040,PV,5299.696800000,GWh
BAU_Extreme,2040,WIND,6777.936000000,GWh
BAU_Extreme,2040,GEOTHERMAL,364.802400000,GWh
BAU_Extreme,2040,BIOENERGY,28.216800000,GWh
BAU_Extreme,2040,DIESEL,302.421600000,GWh
BAU_Extreme,2040,FUEL OIL,5627.476800000,GWh
BAU_Extreme,2040,GAS,3513.556800000,GWh
BAU_Extreme,2040,IMPORTS,1813.219200000,GWh
BAU_Extreme,2040,OTHER,0.000000000,GWh
BAU_Extreme,2041,HYDRO,56705.198400000,GWh
BAU_Extreme,2041,PV,5321.066400000,GWh
BAU_Extreme,2041,WIND,6880.694400000,GWh
BAU_Extreme,2041,GEOTHERMAL,372.081600000,GWh
BAU_Extreme,2041,BIOENERGY,31.600800000,GWh
BAU_Extreme,2041,DIESEL,173.304000000,GWh
BAU_Extreme,2041,FUEL OIL,5791.687200000,GWh
BAU_Extreme,2041,GAS,3127.665600000,GWh
BAU_Extreme,2041,IMPORTS,1859.299200000,GWh
BAU_Extreme,2041,OTHER,0.000000000,GWh
BAU_Extreme,2042,HYDRO,58559.925600000,GWh
BAU_Extreme,2042,PV,5335.056000000,GWh
BAU_Extreme,2042,WIND,6795.525600000,GWh
BAU_Extreme,2042,GEOTHERMAL,366.372000000,GWh
BAU_Extreme,2042,BIOENERGY,24.688800000,GWh
BAU_Extreme,2042,DIESEL,353.678400000,GWh
BAU_Extreme,2042,FUEL OIL,6285.931200000,GWh
BAU_Extreme,2042,GAS,3006.345600000,GWh
BAU_Extreme,2042,IMPORTS,1920.816000000,GWh
BAU_Extreme,2042,OTHER,0.000000000,GWh
BAU_Extreme,2043,HYDRO,60875.496000000,GWh
BAU_Extreme,2043,PV,5360.731200000,GWh
BAU_Extreme,2043,WIND,6807.513600000,GWh
BAU_Extreme,2043,GEOTHERMAL,365.184000000,GWh
BAU_Extreme,2043,BIOENERGY,35.539200000,GWh
BAU_Extreme,2043,DIESEL,339.184800000,GWh
BAU_Extreme,2043,FUEL OIL,6262.315200000,GWh
BAU_Extreme,2043,GAS,3123.021600000,GWh
BAU_Extreme,2043,IMPORTS,1868.472000000,GWh
BAU_Extreme,2043,OTHER,0.000000000,GWh
BAU_Extreme,2044,HYDRO,64218.312000000,GWh
BAU_Extreme,2044,PV,5355.446400000,GWh
BAU_Extreme,2044,WIND,6819.998400000,GWh
BAU_Extreme,2044,GEOTHERMAL,366.984000000,GWh
BAU_Extreme,2044,BIOENERGY,25.502400000,GWh
BAU_Extreme,2044,DIESEL,114.444000000,GWh
BAU_Extreme,2044,FUEL OIL,5834.520000000,GWh
BAU_Extreme,2044,GAS,2765.988000000,GWh
BAU_Extreme,2044,IMPORTS,1935.525600000,GWh
BAU_Extreme,2044,OTHER,0.000000000,GWh
