Case,Year,Month,Reservoir,Volume_Hm3,Turbine_Hm3,Spill_Hm3,Generation_GWh
BAU_Normal,2031,m5,E004_Paute_Molino,60,328.8026823,0,511.0141687
BAU_Normal,2031,m5,E005_Pucara,25,45.02592792,254.9740721,44.12540936
BAU_Normal,2031,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2031,m6,E003_Mazar,205,139.0438702,122.9561298,48.66535459
BAU_Normal,2031,m6,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2031,m6,E005_Pucara,25,45.08399751,254.9160025,44.18231756
BAU_Normal,2031,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2031,m7,E003_Mazar,323.8498639,0,143.1501361,0
BAU_Normal,2031,m7,E004_Paute_Molino,60,144.1501361,0,224.0333365
BAU_Normal,2031,m7,E005_Pucara,25,47.27409966,252.7259003,46.32861767
BAU_Normal,2031,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2031,m8,E003_Mazar,284.610615,0,301.239249,0
BAU_Normal,2031,m8,E004_Paute_Molino,120,242.239249,0,376.4801661
BAU_Normal,2031,m8,E005_Pucara,25,48.66406922,251.3359308,47.69078784
BAU_Normal,2031,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2031,m9,E003_Mazar,270.1913129,190.5399509,85.87935114,66.68898283
BAU_Normal,2031,m9,E004_Paute_Molino,120,277.4193021,0,431.155832
BAU_Normal,2031,m9,E005_Pucara,25,27.77071116,272.2292888,27.21529694
BAU_Normal,2031,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2031,m10,E003_Mazar,240.5754294,172.2756505,119.3402329,60.29647768
BAU_Normal,2031,m10,E004_Paute_Molino,120,292.6158835,0,454.7738522
BAU_Normal,2031,m10,E005_Pucara,25,35.99876478,264.0012352,35.27878948
BAU_Normal,2031,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2031,m11,E003_Mazar,205,178.1257255,119.4497039,62.34400391
BAU_Normal,2031,m11,E004_Paute_Molino,90.01427522,328.5611542,0,510.6387938
BAU_Normal,2031,m11,E005_Pucara,25,35.38378956,264.6162104,34.67611377
BAU_Normal,2031,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2031,m12,E003_Mazar,212.7394451,190.4917058,63.76884915,66.67209702
BAU_Normal,2031,m12,E004_Paute_Molino,60,285.2748301,0,443.3646319
BAU_Normal,2031,m12,E005_Pucara,25,33.16221809,266.8377819,32.49897372
BAU_Normal,2031,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2032,m1,E003_Mazar,205,224.3224518,37.67754822,78.51285812
BAU_Normal,2032,m1,E004_Paute_Molino,60,263,0,408.7458333
