Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,BRIDGE,w17,2038,PV,5418
Baseline,BRIDGE,w17,2038,WIND,1580
Baseline,BRIDGE,w17,2039,BIOENERGY,150
Baseline,BRIDGE,w17,2039,DIESEL,550
Baseline,BRIDGE,w17,2039,FUEL OIL,720
Baseline,BRIDGE,w17,2039,GAS,475.36
Baseline,BRIDGE,w17,2039,GEOTHERMAL,0
Baseline,BRIDGE,w17,2039,HYDRO,8702
Baseline,BRIDGE,w17,2039,NUCLEAR,0
Baseline,BRIDGE,w17,2039,PV,5418
Baseline,BRIDGE,w17,2039,WIND,1580
Baseline,BRIDGE,w17,2040,BIOENERGY,150
Baseline,BRIDGE,w17,2040,DIESEL,300
Baseline,BRIDGE,w17,2040,FUEL OIL,720
Baseline,BRIDGE,w17,2040,GAS,475.36
Baseline,BRIDGE,w17,2040,GEOTHERMAL,0
Baseline,BRIDGE,w17,2040,HYDRO,8702
Baseline,BRIDGE,w17,2040,NUCLEAR,0
Baseline,BRIDGE,w17,2040,PV,5418
Baseline,BRIDGE,w17,2040,WIND,1580
Baseline,BRIDGE,w17,2041,BIOENERGY,150
Baseline,BRIDGE,w17,2041,DIESEL,300
Baseline,BRIDGE,w17,2041,FUEL OIL,720
Baseline,BRIDGE,w17,2041,GAS,475.36
Baseline,BRIDGE,w17,2041,GEOTHERMAL,200
Baseline,BRIDGE,w17,2041,HYDRO,8702
Baseline,BRIDGE,w17,2041,NUCLEAR,0
Baseline,BRIDGE,w17,2041,PV,5418
Baseline,BRIDGE,w17,2041,WIND,1580
Baseline,BRIDGE,w17,2042,BIOENERGY,150
Baseline,BRIDGE,w17,2042,DIESEL,300
Baseline,BRIDGE,w17,2042,FUEL OIL,720
Baseline,BRIDGE,w17,2042,GAS,475.36
Baseline,BRIDGE,w17,2042,GEOTHERMAL,400
Baseline,BRIDGE,w17,2042,HYDRO,8702
Baseline,BRIDGE,w17,2042,NUCLEAR,0
Baseline,BRIDGE,w17,2042,PV,5418
Baseline,BRIDGE,w17,2042,WIND,1580
Baseline,BRIDGE,w17,2043,BIOENERGY,150
Baseline,BRIDGE,w17,2043,DIESEL,300
Baseline,BRIDGE,w17,2043,FUEL OIL,720
Baseline,BRIDGE,w17,2043,GAS,475.36
Baseline,BRIDGE,w17,2043,GEOTHERMAL,400
Baseline,BRIDGE,w17,2043,HYDRO,8702
Baseline,BRIDGE,w17,2043,NUCLEAR,0
Baseline,BRIDGE,w17,2043,PV,5418
Baseline,BRIDGE,w17,2043,WIND,1580
Baseline,BRIDGE,w17,2044,BIOENERGY,150
Baseline,BRIDGE,w17,2044,DIESEL,300
Baseline,BRIDGE,w17,2044,FUEL OIL,720
Baseline,BRIDGE,w17,2044,GAS,475.36
Baseline,BRIDGE,w17,2044,GEOTHERMAL,400
Baseline,BRIDGE,w17,2044,HYDRO,8702
Baseline,BRIDGE,w17,2044,NUCLEAR,0
Baseline,BRIDGE,w17,2044,PV,5418
Baseline,BRIDGE,w17,2044,WIND,1580
Baseline,BRIDGE,w17,2045,BIOENERGY,0
Baseline,BRIDGE,w17,2045,DIESEL,0
Baseline,BRIDGE,w17,2045,FUEL OIL,0
Baseline,BRIDGE,w17,2045,GAS,1500
Baseline,BRIDGE,w17,2045,GEOTHERMAL,400
Baseline,BRIDGE,w17,2045,HYDRO,8702
Baseline,BRIDGE,w17,2045,NUCLEAR,0
Baseline,BRIDGE,w17,2045,PV,5368
Baseline,BRIDGE,w17,2045,WIND,1505
Baseline,BRIDGE,w17,2046,BIOENERGY,0
Baseline,BRIDGE,w17,2046,DIESEL,0
Baseline,BRIDGE,w17,2046,FUEL OIL,0
Baseline,BRIDGE,w17,2046,GAS,1900
Baseline,BRIDGE,w17,2046,GEOTHERMAL,400
Baseline,BRIDGE,w17,2046,HYDRO,8702
Baseline,BRIDGE,w17,2046,NUCLEAR,0
Baseline,BRIDGE,w17,2046,PV,5368
Baseline,BRIDGE,w17,2046,WIND,1505
Baseline,BRIDGE,w17,2047,BIOENERGY,0
Baseline,BRIDGE,w17,2047,DIESEL,0
Baseline,BRIDGE,w17,2047,FUEL OIL,0
Baseline,BRIDGE,w17,2047,GAS,1900
Baseline,BRIDGE,w17,2047,GEOTHERMAL,400
Baseline,BRIDGE,w17,2047,HYDRO,8702
Baseline,BRIDGE,w17,2047,NUCLEAR,0
Baseline,BRIDGE,w17,2047,PV,5368
Baseline,BRIDGE,w17,2047,WIND,1505
Baseline,BRIDGE,w17,2048,BIOENERGY,0
Baseline,BRIDGE,w17,2048,DIESEL,0
Baseline,BRIDGE,w17,2048,FUEL OIL,0
Baseline,BRIDGE,w17,2048,GAS,1900
Baseline,BRIDGE,w17,2048,GEOTHERMAL,400
Baseline,BRIDGE,w17,2048,HYDRO,8702
Baseline,BRIDGE,w17,2048,NUCLEAR,0
Baseline,BRIDGE,w17,2048,PV,5368
Baseline,BRIDGE,w17,2048,WIND,1505
Baseline,BRIDGE,w17,2049,BIOENERGY,0
Baseline,BRIDGE,w17,2049,DIESEL,0
Baseline,BRIDGE,w17,2049,FUEL OIL,0
Baseline,BRIDGE,w17,2049,GAS,1900
Baseline,BRIDGE,w17,2049,GEOTHERMAL,400
Baseline,BRIDGE,w17,2049,HYDRO,8702
Baseline,BRIDGE,w17,2049,NUCLEAR,0
Baseline,BRIDGE,w17,2049,PV,5368
Baseline,BRIDGE,w17,2049,WIND,1505
Baseline,BRIDGE,w17,2050,BIOENERGY,0
Baseline,BRIDGE,w17,2050,DIESEL,0
Baseline,BRIDGE,w17,2050,FUEL OIL,0
Baseline,BRIDGE,w17,2050,GAS,1900
Baseline,BRIDGE,w17,2050,GEOTHERMAL,400
Baseline,BRIDGE,w17,2050,HYDRO,8702
Baseline,BRIDGE,w17,2050,NUCLEAR,0
Baseline,BRIDGE,w17,2050,PV,5368
Baseline,BRIDGE,w17,2050,WIND,1505
Baseline,NZT,w22,2025,BIOENERGY,150
Baseline,NZT,w22,2025,DIESEL,850
Baseline,NZT,w22,2025,FUEL OIL,1420
Baseline,NZT,w22,2025,GAS,475.36
Baseline,NZT,w22,2025,GEOTHERMAL,0
Baseline,NZT,w22,2025,HYDRO,5258
Baseline,NZT,w22,2025,NUCLEAR,0
Baseline,NZT,w22,2025,PV,1350
