Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2027,2,HYDRO,2637.68795,2027-02-01
Baseline,REF,w23,2027,2,IMPORTS,0,2027-02-01
Baseline,REF,w23,2027,2,NUCLEAR,0,2027-02-01
Baseline,REF,w23,2027,2,PV,10.88112941,2027-02-01
Baseline,REF,w23,2027,2,WIND,81.22743746,2027-02-01
Baseline,REF,w23,2027,3,BIOENERGY,0,2027-03-01
Baseline,REF,w23,2027,3,DIESEL,0,2027-03-01
Baseline,REF,w23,2027,3,FUEL OIL,32.78156985,2027-03-01
Baseline,REF,w23,2027,3,GAS,0,2027-03-01
Baseline,REF,w23,2027,3,GEOTHERMAL,89.16487793,2027-03-01
Baseline,REF,w23,2027,3,HYDRO,3530.079722,2027-03-01
Baseline,REF,w23,2027,3,IMPORTS,0,2027-03-01
Baseline,REF,w23,2027,3,NUCLEAR,0,2027-03-01
Baseline,REF,w23,2027,3,PV,8.351419699,2027-03-01
Baseline,REF,w23,2027,3,WIND,72.09704591,2027-03-01
Baseline,REF,w23,2027,4,BIOENERGY,0,2027-04-01
Baseline,REF,w23,2027,4,DIESEL,0,2027-04-01
Baseline,REF,w23,2027,4,FUEL OIL,15.18013084,2027-04-01
Baseline,REF,w23,2027,4,GAS,0,2027-04-01
Baseline,REF,w23,2027,4,GEOTHERMAL,98.97369054,2027-04-01
Baseline,REF,w23,2027,4,HYDRO,3558.980066,2027-04-01
Baseline,REF,w23,2027,4,IMPORTS,0,2027-04-01
Baseline,REF,w23,2027,4,NUCLEAR,0,2027-04-01
Baseline,REF,w23,2027,4,PV,7.403240681,2027-04-01
Baseline,REF,w23,2027,4,WIND,70.91421071,2027-04-01
Baseline,REF,w23,2027,5,BIOENERGY,0,2027-05-01
Baseline,REF,w23,2027,5,DIESEL,0,2027-05-01
Baseline,REF,w23,2027,5,FUEL OIL,14.09377483,2027-05-01
Baseline,REF,w23,2027,5,GAS,0,2027-05-01
Baseline,REF,w23,2027,5,GEOTHERMAL,55.32140166,2027-05-01
Baseline,REF,w23,2027,5,HYDRO,3580.537832,2027-05-01
Baseline,REF,w23,2027,5,IMPORTS,0,2027-05-01
Baseline,REF,w23,2027,5,NUCLEAR,0,2027-05-01
Baseline,REF,w23,2027,5,PV,8.246535455,2027-05-01
Baseline,REF,w23,2027,5,WIND,74.6833298,2027-05-01
Baseline,REF,w23,2027,6,BIOENERGY,0,2027-06-01
Baseline,REF,w23,2027,6,DIESEL,0,2027-06-01
Baseline,REF,w23,2027,6,FUEL OIL,32.53907475,2027-06-01
Baseline,REF,w23,2027,6,GAS,0,2027-06-01
Baseline,REF,w23,2027,6,GEOTHERMAL,0,2027-06-01
Baseline,REF,w23,2027,6,HYDRO,3526.593623,2027-06-01
Baseline,REF,w23,2027,6,IMPORTS,0,2027-06-01
Baseline,REF,w23,2027,6,NUCLEAR,0,2027-06-01
Baseline,REF,w23,2027,6,PV,9.929825709,2027-06-01
Baseline,REF,w23,2027,6,WIND,81.68245286,2027-06-01
Baseline,REF,w23,2027,7,BIOENERGY,0,2027-07-01
Baseline,REF,w23,2027,7,DIESEL,0,2027-07-01
Baseline,REF,w23,2027,7,FUEL OIL,31.05605975,2027-07-01
Baseline,REF,w23,2027,7,GAS,0,2027-07-01
Baseline,REF,w23,2027,7,GEOTHERMAL,0,2027-07-01
Baseline,REF,w23,2027,7,HYDRO,3478.777774,2027-07-01
Baseline,REF,w23,2027,7,IMPORTS,0,2027-07-01
Baseline,REF,w23,2027,7,NUCLEAR,0,2027-07-01
Baseline,REF,w23,2027,7,PV,9.704262999,2027-07-01
Baseline,REF,w23,2027,7,WIND,82.80777398,2027-07-01
Baseline,REF,w23,2027,8,BIOENERGY,86.11463834,2027-08-01
Baseline,REF,w23,2027,8,DIESEL,0,2027-08-01
Baseline,REF,w23,2027,8,FUEL OIL,665.7219647,2027-08-01
Baseline,REF,w23,2027,8,GAS,63.50586425,2027-08-01
Baseline,REF,w23,2027,8,GEOTHERMAL,119.5617971,2027-08-01
Baseline,REF,w23,2027,8,HYDRO,2563.582032,2027-08-01
Baseline,REF,w23,2027,8,IMPORTS,0,2027-08-01
Baseline,REF,w23,2027,8,NUCLEAR,0,2027-08-01
Baseline,REF,w23,2027,8,PV,10.55430804,2027-08-01
Baseline,REF,w23,2027,8,WIND,83.44623291,2027-08-01
Baseline,REF,w23,2027,9,BIOENERGY,92.14476646,2027-09-01
Baseline,REF,w23,2027,9,DIESEL,0,2027-09-01
Baseline,REF,w23,2027,9,FUEL OIL,674.0820157,2027-09-01
Baseline,REF,w23,2027,9,GAS,61.70482586,2027-09-01
Baseline,REF,w23,2027,9,GEOTHERMAL,122.237537,2027-09-01
Baseline,REF,w23,2027,9,HYDRO,2631.570629,2027-09-01
Baseline,REF,w23,2027,9,IMPORTS,0,2027-09-01
Baseline,REF,w23,2027,9,NUCLEAR,0,2027-09-01
Baseline,REF,w23,2027,9,PV,10.23788146,2027-09-01
Baseline,REF,w23,2027,9,WIND,84.46852972,2027-09-01
Baseline,REF,w23,2027,10,BIOENERGY,89.60367445,2027-10-01
Baseline,REF,w23,2027,10,DIESEL,0,2027-10-01
Baseline,REF,w23,2027,10,FUEL OIL,657.2228345,2027-10-01
Baseline,REF,w23,2027,10,GAS,62.29487003,2027-10-01
Baseline,REF,w23,2027,10,GEOTHERMAL,119.8124648,2027-10-01
Baseline,REF,w23,2027,10,HYDRO,2655.927592,2027-10-01
Baseline,REF,w23,2027,10,IMPORTS,0,2027-10-01
Baseline,REF,w23,2027,10,NUCLEAR,0,2027-10-01
Baseline,REF,w23,2027,10,PV,11.37485762,2027-10-01
Baseline,REF,w23,2027,10,WIND,92.25705298,2027-10-01
Baseline,REF,w23,2027,11,BIOENERGY,82.21201851,2027-11-01
Baseline,REF,w23,2027,11,DIESEL,0,2027-11-01
Baseline,REF,w23,2027,11,FUEL OIL,762.778968,2027-11-01
Baseline,REF,w23,2027,11,GAS,62.93882373,2027-11-01
Baseline,REF,w23,2027,11,GEOTHERMAL,118.728701,2027-11-01
