Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,REF,w23,2049-02-01,2049,2,434.8405096,0,341.670242
Baseline,REF,w23,2049-03-01,2049,3,442.4200039,0,32.90386558
Baseline,REF,w23,2049-04-01,2049,4,444.6693624,0,38.9184336
Baseline,REF,w23,2049-05-01,2049,5,442.4683936,0,34.15766651
Baseline,REF,w23,2049-06-01,2049,6,432.7323732,0,32.93440411
Baseline,REF,w23,2049-07-01,2049,7,426.9955003,0,26.62237176
Baseline,REF,w23,2049-08-01,2049,8,425.8268833,0,318.5342106
Baseline,REF,w23,2049-09-01,2049,9,435.7788049,0,391.7755791
Baseline,REF,w23,2049-10-01,2049,10,437.2067865,0,373.2489447
Baseline,REF,w23,2049-11-01,2049,11,446.0541767,0,411.4559576
Baseline,REF,w23,2049-12-01,2049,12,456.7183404,0.001882376829,420.5728163
Baseline,REF,w23,2050-01-01,2050,1,445.7657552,0,412.1770146
Baseline,REF,w23,2050-02-01,2050,2,443.5373198,0,373.6349374
Baseline,REF,w23,2050-03-01,2050,3,451.268404,0,44.84469333
Baseline,REF,w23,2050-04-01,2050,4,453.5627497,0,38.82443358
Baseline,REF,w23,2050-05-01,2050,5,451.3177614,0,42.36043061
Baseline,REF,w23,2050-06-01,2050,6,441.3870207,0,32.25404044
Baseline,REF,w23,2050-07-01,2050,7,435.5354103,0,32.14207203
Baseline,REF,w23,2050-08-01,2050,8,434.343421,0,391.9899147
Baseline,REF,w23,2050-09-01,2050,9,444.494381,0,396.575989
Baseline,REF,w23,2050-10-01,2050,10,445.9509222,0,360.8389668
Baseline,REF,w23,2050-11-01,2050,11,454.9752602,0,419.0541168
Baseline,REF,w23,2050-12-01,2050,12,465.8527072,0.2515752765,416.3681535
Baseline,BRIDGE,w17,2025-01-01,2025,1,360.3373693,0,656.6283727
Baseline,BRIDGE,w17,2025-02-01,2025,2,358.5360005,0,661.2554381
Baseline,BRIDGE,w17,2025-03-01,2025,3,364.7854679,0,187.8503733
Baseline,BRIDGE,w17,2025-04-01,2025,4,366.6401157,0,266.3603925
Baseline,BRIDGE,w17,2025-05-01,2025,5,364.8253662,0,192.9336183
Baseline,BRIDGE,w17,2025-06-01,2025,6,356.7977936,0,151.4378988
Baseline,BRIDGE,w17,2025-07-01,2025,7,352.0676099,0,132.3342653
Baseline,BRIDGE,w17,2025-08-01,2025,8,351.1040583,0,554.2017159
Baseline,BRIDGE,w17,2025-09-01,2025,9,359.3096466,0,626.7247313
Baseline,BRIDGE,w17,2025-10-01,2025,10,360.4870502,0,628.9791494
Baseline,BRIDGE,w17,2025-11-01,2025,11,367.7819269,0,655.8148767
Baseline,BRIDGE,w17,2025-12-01,2025,12,376.5747752,0,664.191846
Baseline,BRIDGE,w17,2026-01-01,2026,1,373.5977845,0,472.6637847
Baseline,BRIDGE,w17,2026-02-01,2026,2,371.7301253,0,447.6899808
Baseline,BRIDGE,w17,2026-03-01,2026,3,378.2095731,0,80.44825257
Baseline,BRIDGE,w17,2026-04-01,2026,4,380.1324719,0,25.78143866
Baseline,BRIDGE,w17,2026-05-01,2026,5,378.2509397,0,62.9570564
Baseline,BRIDGE,w17,2026-06-01,2026,6,369.9279524,0,26.85047006
Baseline,BRIDGE,w17,2026-07-01,2026,7,365.023698,0,9.814861216
Baseline,BRIDGE,w17,2026-08-01,2026,8,364.0246877,0,403.2069829
Baseline,BRIDGE,w17,2026-09-01,2026,9,372.5322416,0,507.3978235
Baseline,BRIDGE,w17,2026-10-01,2026,10,373.7529737,0,549.6227618
Baseline,BRIDGE,w17,2026-11-01,2026,11,381.3163018,0,599.1736095
Baseline,BRIDGE,w17,2026-12-01,2026,12,390.4327269,0,619.2342999
Baseline,BRIDGE,w17,2027-01-01,2027,1,384.0585225,0,462.0985413
Baseline,BRIDGE,w17,2027-02-01,2027,2,382.1385688,0,496.658597
Baseline,BRIDGE,w17,2027-03-01,2027,3,388.7994411,0,10.55241797
Baseline,BRIDGE,w17,2027-04-01,2027,4,390.7761812,0,11.38509813
Baseline,BRIDGE,w17,2027-05-01,2027,5,388.841966,0,10.57033112
Baseline,BRIDGE,w17,2027-06-01,2027,6,380.285935,0,9.935197296
Baseline,BRIDGE,w17,2027-07-01,2027,7,375.2443615,0,9.744710691
Baseline,BRIDGE,w17,2027-08-01,2027,8,374.2173789,0,467.9252614
Baseline,BRIDGE,w17,2027-09-01,2027,9,382.9631443,0,409.9086042
Baseline,BRIDGE,w17,2027-10-01,2027,10,384.2180569,0,460.3353887
Baseline,BRIDGE,w17,2027-11-01,2027,11,391.9931583,0,542.8902108
Baseline,BRIDGE,w17,2027-12-01,2027,12,401.3648432,0,668.8732383
Baseline,BRIDGE,w17,2028-01-01,2028,1,398.2686878,0,493.9315325
Baseline,BRIDGE,w17,2028-02-01,2028,2,396.2776958,0,422.2549256
Baseline,BRIDGE,w17,2028-03-01,2028,3,403.1850205,0,0
