Hydrology,Scenario,Year,Tech,mean_MW,p10_MW,p50_MW,p90_MW,min_MW,max_MW
Baseline,NZT,2028,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2028,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2028,HYDRO,6307,6307,6307,6307,6307,6307
Baseline,NZT,2028,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2028,PV,2168,2168,2168,2168,2168,2168
Baseline,NZT,2028,WIND,705,705,705,705,705,705
Baseline,NZT,2029,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2029,DIESEL,850,850,850,850,850,850
Baseline,NZT,2029,FUEL OIL,820,820,820,820,820,820
Baseline,NZT,2029,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2029,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2029,HYDRO,6307,6307,6307,6307,6307,6307
Baseline,NZT,2029,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2029,PV,2418,2418,2418,2418,2418,2418
Baseline,NZT,2029,WIND,830,830,830,830,830,830
Baseline,NZT,2030,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2030,DIESEL,850,850,850,850,850,850
Baseline,NZT,2030,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2030,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2030,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2030,HYDRO,8060.35,8102,8102,8102,7507,8102
Baseline,NZT,2030,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2030,PV,2418,2418,2418,2418,2418,2418
Baseline,NZT,2030,WIND,948.75,955,955,955,830,955
Baseline,NZT,2031,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2031,DIESEL,850,850,850,850,850,850
Baseline,NZT,2031,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2031,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2031,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2031,HYDRO,8084.15,8102,8102,8102,7507,8102
Baseline,NZT,2031,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2031,PV,2418,2418,2418,2418,2418,2418
Baseline,NZT,2031,WIND,1080,1080,1080,1080,1080,1080
Baseline,NZT,2032,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2032,DIESEL,850,850,850,850,850,850
Baseline,NZT,2032,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2032,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2032,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2032,HYDRO,8150.1,8102,8102,8402,7507,9602
Baseline,NZT,2032,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2032,PV,3168,3168,3168,3168,3168,3168
Baseline,NZT,2032,WIND,1205,1205,1205,1205,1205,1205
Baseline,NZT,2033,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2033,DIESEL,850,850,850,850,850,850
Baseline,NZT,2033,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2033,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2033,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2033,HYDRO,8150.1,8102,8102,8402,7507,9602
Baseline,NZT,2033,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2033,PV,4160.5,4168,4168,4168,3918,4168
Baseline,NZT,2033,WIND,1327.5,1330,1330,1330,1205,1330
Baseline,NZT,2034,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2034,DIESEL,850,850,850,850,850,850
Baseline,NZT,2034,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2034,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2034,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2034,HYDRO,8150.1,8102,8102,8402,7507,9602
Baseline,NZT,2034,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2034,PV,4880.5,4668,4918,4918,4418,4918
Baseline,NZT,2034,WIND,1450,1455,1455,1455,1330,1455
Baseline,NZT,2035,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2035,DIESEL,550,550,550,550,550,550
Baseline,NZT,2035,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2035,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2035,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2035,HYDRO,8156.1,8102,8102,8402,7507,9602
Baseline,NZT,2035,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2035,PV,5155.5,5168,5168,5168,4918,5168
Baseline,NZT,2035,WIND,1455,1455,1455,1455,1455,1455
Baseline,NZT,2036,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2036,DIESEL,550,550,550,550,550,550
Baseline,NZT,2036,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2036,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2036,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2036,HYDRO,8180.1,8102,8102,8402,7507,9602
Baseline,NZT,2036,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2036,PV,5408,5418,5418,5418,5168,5418
Baseline,NZT,2036,WIND,1578.75,1580,1580,1580,1455,1580
Baseline,NZT,2037,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2037,DIESEL,550,550,550,550,550,550
Baseline,NZT,2037,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2037,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2037,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2037,HYDRO,8399.1,8102,8402,8702,7807,10202
Baseline,NZT,2037,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2037,PV,5415.5,5418,5418,5418,5168,5418
Baseline,NZT,2037,WIND,1580,1580,1580,1580,1580,1580
Baseline,NZT,2038,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2038,DIESEL,550,550,550,550,550,550
Baseline,NZT,2038,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2038,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2038,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2038,HYDRO,8723.1,8372.5,8552,9332,7807,10502
Baseline,NZT,2038,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2038,PV,5418,5418,5418,5418,5418,5418
Baseline,NZT,2038,WIND,1580,1580,1580,1580,1580,1580
Baseline,NZT,2039,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2039,DIESEL,550,550,550,550,550,550
Baseline,NZT,2039,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2039,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2039,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2039,HYDRO,9023.1,8402,8702,10202,8102,10802
Baseline,NZT,2039,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2039,PV,5418,5418,5418,5418,5418,5418
Baseline,NZT,2039,WIND,1580,1580,1580,1580,1580,1580
Baseline,NZT,2040,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2040,DIESEL,300,300,300,300,300,300
Baseline,NZT,2040,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2040,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2040,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2040,HYDRO,9338.1,8702,9002,10502,8402,11102
Baseline,NZT,2040,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2040,PV,5418,5418,5418,5418,5418,5418
Baseline,NZT,2040,WIND,1580,1580,1580,1580,1580,1580
Baseline,NZT,2041,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2041,DIESEL,300,300,300,300,300,300
Baseline,NZT,2041,FUEL OIL,720,720,720,720,720,720
Baseline,NZT,2041,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2041,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2041,HYDRO,9641.1,8706.5,9302,10802,8407,11702
Baseline,NZT,2041,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2041,PV,5418,5418,5418,5418,5418,5418
